species,npy_filename,original_mp3,duration,split
African Paradise Flycatcher,African_Paradise_Flycatcher_01.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_01.mp3,17.868390022675737,train
African Paradise Flycatcher,African_Paradise_Flycatcher_02.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_02.mp3,28.73297052154195,train
African Paradise Flycatcher,African_Paradise_Flycatcher_03.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_03.mp3,19.489002267573696,test
African Paradise Flycatcher,African_Paradise_Flycatcher_04.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_04.mp3,28.953560090702947,train
African Paradise Flycatcher,African_Paradise_Flycatcher_05.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_05.mp3,29.0,test
African Paradise Flycatcher,African_Paradise_Flycatcher_06.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_06.mp3,28.96517006802721,train
African Paradise Flycatcher,African_Paradise_Flycatcher_07.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_07.mp3,16.822857142857142,train
African Paradise Flycatcher,African_Paradise_Flycatcher_08.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_08.mp3,9.73138321995465,val
African Paradise Flycatcher,African_Paradise_Flycatcher_09.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_09.mp3,29.0,test
African Paradise Flycatcher,African_Paradise_Flycatcher_10.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_10.mp3,15.824399092970522,val
African Paradise Flycatcher,African_Paradise_Flycatcher_11.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_11.mp3,28.96517006802721,train
African Paradise Flycatcher,African_Paradise_Flycatcher_12.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_12.mp3,22.732335600907028,train
African Paradise Flycatcher,African_Paradise_Flycatcher_13.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_13.mp3,4.260861678004535,train
African Paradise Flycatcher,African_Paradise_Flycatcher_14.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_14.mp3,4.1833786848072565,test
African Paradise Flycatcher,African_Paradise_Flycatcher_15.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_15.mp3,6.2733560090702944,train
African Paradise Flycatcher,African_Paradise_Flycatcher_16.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_16.mp3,28.988390022675738,train
African Paradise Flycatcher,African_Paradise_Flycatcher_17.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_17.mp3,29.0,train
African Paradise Flycatcher,African_Paradise_Flycatcher_18.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_18.mp3,23.83528344671202,train
African Paradise Flycatcher,African_Paradise_Flycatcher_19.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_19.mp3,7.76077097505669,train
African Paradise Flycatcher,African_Paradise_Flycatcher_20.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_20.mp3,15.53498866213152,train
African Paradise Flycatcher,African_Paradise_Flycatcher_21.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_21.mp3,13.886598639455782,train
African Paradise Flycatcher,African_Paradise_Flycatcher_22.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_22.mp3,28.930340136054426,train
African Paradise Flycatcher,African_Paradise_Flycatcher_23.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_23.mp3,22.91809523809524,val
African Paradise Flycatcher,African_Paradise_Flycatcher_24.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_24.mp3,28.3730612244898,train
African Paradise Flycatcher,African_Paradise_Flycatcher_25.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_25.mp3,6.640907029478458,train
African Paradise Flycatcher,African_Paradise_Flycatcher_26.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_26.mp3,5.49,train
African Paradise Flycatcher,African_Paradise_Flycatcher_27.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_27.mp3,7.981995464852607,train
African Paradise Flycatcher,African_Paradise_Flycatcher_28.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_28.mp3,28.988390022675738,train
African Paradise Flycatcher,African_Paradise_Flycatcher_29.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_29.mp3,28.988390022675738,train
African Paradise Flycatcher,African_Paradise_Flycatcher_30.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_30.mp3,16.439727891156462,train
African Paradise Flycatcher,African_Paradise_Flycatcher_31.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_31.mp3,9.982743764172335,train
African Paradise Flycatcher,African_Paradise_Flycatcher_32.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_32.mp3,13.45299319727891,train
African Paradise Flycatcher,African_Paradise_Flycatcher_33.npy,../data/raw_audio/sa_bird_audio/African Paradise Flycatcher/African_Paradise_Flycatcher_33.mp3,14.384761904761906,train
African Pipit,African_Pipit_01.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_01.mp3,22.274807256235828,train
African Pipit,African_Pipit_02.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_02.mp3,16.342108843537414,train
African Pipit,African_Pipit_03.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_03.mp3,26.0074149659864,train
African Pipit,African_Pipit_04.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_04.mp3,9.080068027210883,train
African Pipit,African_Pipit_05.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_05.mp3,17.07827664399093,train
African Pipit,African_Pipit_06.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_06.mp3,21.37396825396825,val
African Pipit,African_Pipit_07.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_07.mp3,27.82897959183673,train
African Pipit,African_Pipit_08.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_08.mp3,28.988390022675738,train
African Pipit,African_Pipit_09.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_09.mp3,22.95700680272109,test
African Pipit,African_Pipit_10.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_10.mp3,3.4103854875283446,train
African Pipit,African_Pipit_11.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_11.mp3,24.781995464852606,test
African Pipit,African_Pipit_12.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_12.mp3,11.148390022675738,train
African Pipit,African_Pipit_13.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_13.mp3,28.061315192743763,train
African Pipit,African_Pipit_14.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_14.mp3,28.779410430839004,train
African Pipit,African_Pipit_15.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_15.mp3,25.02700680272109,train
African Pipit,African_Pipit_16.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_16.mp3,11.180408163265309,val
African Pipit,African_Pipit_17.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_17.mp3,15.836009070294784,train
African Pipit,African_Pipit_18.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_18.mp3,28.744580498866213,train
African Pipit,African_Pipit_19.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_19.mp3,26.02956916099773,train
African Pipit,African_Pipit_20.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_20.mp3,25.42585034013605,test
African Pipit,African_Pipit_21.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_21.mp3,3.13469387755102,train
African Pipit,African_Pipit_22.npy,../data/raw_audio/sa_bird_audio/African Pipit/African_Pipit_22.mp3,7.441995464852607,train
