,original_file,chunk_index,start_frame,end_frame,snr,species,chunk_path,split
0,Chestnut-vented_Warbler_34.npy,best,1664,1920,0.1405029296875,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_34/Chestnut-vented_Warbler_34_bestchunk.npy,train
1,Chestnut-vented_Warbler_53.npy,best,384,640,0.0306396484375,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_53/Chestnut-vented_Warbler_53_bestchunk.npy,train
2,Chestnut-vented_Warbler_46.npy,best,1216,1472,0.052337646484375,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_46/Chestnut-vented_Warbler_46_bestchunk.npy,val
3,Chestnut-vented_Warbler_36.npy,best,128,384,0.103302001953125,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_36/Chestnut-vented_Warbler_36_bestchunk.npy,train
4,Chestnut-vented_Warbler_38.npy,best,960,1216,0.09320068359375,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_38/Chestnut-vented_Warbler_38_bestchunk.npy,train
5,Chestnut-vented_Warbler_81.npy,best,2048,2304,0.080657958984375,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_81/Chestnut-vented_Warbler_81_bestchunk.npy,train
6,Chestnut-vented_Warbler_27.npy,best,1472,1728,0.131011962890625,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_27/Chestnut-vented_Warbler_27_bestchunk.npy,val
7,Chestnut-vented_Warbler_15.npy,best,832,1088,0.10467529296875,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_15/Chestnut-vented_Warbler_15_bestchunk.npy,train
8,Chestnut-vented_Warbler_32.npy,best,1664,1920,0.05987548828125,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_32/Chestnut-vented_Warbler_32_bestchunk.npy,train
9,Chestnut-vented_Warbler_43.npy,best,448,704,0.086700439453125,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_43/Chestnut-vented_Warbler_43_bestchunk.npy,train
10,Chestnut-vented_Warbler_17.npy,best,2176,2432,0.069091796875,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_17/Chestnut-vented_Warbler_17_bestchunk.npy,train
11,Chestnut-vented_Warbler_44.npy,best,512,768,0.099334716796875,Chestnut-vented Warbler,../data/processed_audio/512f_best_chunk_spectrograms/Chestnut-vented_Warbler_44/Chestnut-vented_Warbler_44_bestchunk.npy,train
